FID,IMOS_SITE_CODE,STATION_NAME,NODE,STATE,START_DATE,STATION_DEPTH_M,LONGITUDE,LATITUDE,STATION_PT
NRS_STATION.fid-4a29a09e_177a93fd846_6638,NRSMAI,Maria Island,TASIMOS,TAS,1944-10-01,86,148.23333,-42.59667,POINT (-42.59667 148.23333)
NRS_STATION.fid-4a29a09e_177a93fd846_6639,NRSKAI,Kangaroo Island,SAIMOS,SA,2009-11-16,110,136.44733,-35.83217,POINT (-35.83217 136.44733)
NRS_STATION.fid-4a29a09e_177a93fd846_663a,NRSESP,Esperance,WAIMOS,WA,2009-05-12,50,121.85,-33.93333,POINT (-33.93333 121.85)
NRS_STATION.fid-4a29a09e_177a93fd846_663b,NRSROT,Rottnest Island,WAIMOS,WA,1951-04-01,50,115.41667,-32,POINT (-32 115.41667)
NRS_STATION.fid-4a29a09e_177a93fd846_663c,NRSNIN,Ningaloo,WAIMOS,WA,2010-11-01,30,113.779,-21.99,POINT (-21.99 113.779)
NRS_STATION.fid-4a29a09e_177a93fd846_663d,NRSDAR,Darwin,AIMS,NT,2011-06-27,25,130.76805,-12.4,POINT (-12.4 130.76805)
NRS_STATION.fid-4a29a09e_177a93fd846_663e,NRSYON,Yongala,QIMOS,QLD,2009-09-09,28.9,147.61842,-19.30847,POINT (-19.30847 147.61842)
,,Port Hacking 4,NSW IMOS,NSW,53-05-01,deep,151.21815,-34.11758,POINT (-34.15 151.26)
NRS_STATION.fid-4a29a09e_177a93fd846_6640,NRSNSI,North Stradbroke,QIMOS,QLD,2008-09-29,60,153.562,-27.345,POINT (-27.3 153.6)
NRS_STATION.fid-4a29a09e_177a93fd846_6641,NRSPHB,Port Hacking,NSW IMOS,NSW,2009-02-24,100,151.22667,-34.11923,POINT (-34.08333 151.25)
NRS_STATION.fid-4a29a09e_177a93fd846_6642,SOTS,Southern Ocean Time Series,IMOS,SO,2012-07-14,100,142.25826,-96.93473,POINT (-46.85 146.333)
NRS_STATION.fid-4a29a09e_177a93fd846_6643,SOTS_RAS,Southern Ocean Time Series - Remote Access Sampler,IMOS,SO,2010-09-09,100,142.25826,-46.93473,"
"
