STATIONCODE,STATIONNAME,NODE,STATECODE,LONGITUDE,LATITUDE,STATIONSTARTDATE,STATIONDEPTH_M,SAMPLINGEFFORT,IMCRA,IMCRA_PB,MANAGEMENTREGION
MAI,Maria Island,TASIMOS,TAS,148.23333,-42.59667,1944-10-01 00:00:00,-88,Monthly,FRT,Tasmanian Shelf Province,South-east
KAI,Kangaroo Island,SAIMOS,SA,136.44733,-35.83217,2009-11-16 00:00:00,-108.088,Monthly,EYR,Spencer Gulf Shelf Province,South-west
ESP,Esperance,WAIMOS,WA,121.85,-33.93333,2009-05-12 00:00:00,-49.3207,Quarterly,WSC,Southwest Shelf Province,South-west
ROT,Rottnest Island,WAIMOS,WA,115.41667,-32,1951-04-01 00:00:00,-44.6421,Monthly,LNE,Southwest Shelf Province,South-west
NIN,Ningaloo,WAIMOS,WA,113.779,-21.99,2010-11-01 00:00:00,-595.598,Quarterly,CWT,Northwest Province,North-west
DAR,Darwin,AIMS,NT,130.76805,-12.4,2011-06-27 00:00:00,-16.6025,Quarterly,ANB,Northwest Shelf Transition,North
YON,Yongala,QIMOS,QLD,147.61842,-19.30847,2009-09-09 00:00:00,-24.149,Monthly,LMC,Northeast Shelf Province,GBR / Coral Sea
PH4,Port Hacking 4,NSW IMOS,NSW,151.21815,-34.11758,1953-05-01 00:00:00,-104.6,Monthly,HAW,Central Eastern Shelf Province,Temperate East
NSI,North Stradbroke,QIMOS,QLD,153.562,-27.345,2008-09-29 00:00:00,-63.8002,Monthly,TM,Central Eastern Shelf Transition,Temperate East
PHB,Port Hacking,NSW IMOS,NSW,151.22667,-34.11923,2009-02-24 00:00:00,-111.042,Monthly,HAW,Central Eastern Shelf Province,Temperate East
